3D model name[required],is_free(0=no;1=yes)[required],SKU[optional],Old Price(if in offer)[optional],actual price(if free=1 enter 0 here)[required],category name[required],sub category [required],youtube link[optional],vimeo link[optional],description[required],tags[required],"license(royalty_fee,editorial,custom)[required]",custom_license[optional](Enter if custom selected),featured_photo[required],product model file[required],other_images[optional],,,,,,,,,,
TGR24,0,,,6,RING,Gents Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\GENTS RINGS\gents ring cad & pic=03\TGR24.JPG,\3d design model\GENTS RINGS\gents ring cad & pic=03\TGR24.jcd,\3d design model\GENTS RINGS\gents ring cad & pic=03\TGR24.JPG,,,,,,,,,,
TGR25,0,,,6,RING,Gents Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\GENTS RINGS\gents ring cad & pic=03\TGR25.JPG,\3d design model\GENTS RINGS\gents ring cad & pic=03\TGR25.jcd,\3d design model\GENTS RINGS\gents ring cad & pic=03\TGR25.JPG,,,,,,,,,,
BLR_12,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_12.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_12.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_12.jpg,,,,,,,,,,
BLR_13,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_13.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_13.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_13.jpg,,,,,,,,,,
BLR_14,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_14.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_14.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_14.jpg,,,,,,,,,,
BLR_15,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_15.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_15.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_15.jpg,,,,,,,,,,
"BLR_16,17,18,19,20",0,,,23,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_16.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_16.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_17.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_18.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_19.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_20.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_16.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_17.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_18.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_19.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_20.jpg,,,,,,,,,,
"BLR_21,22,23,24,25",0,,,23,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_21.jpg,"
\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_21.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_22.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_23.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_24.jcd&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_24.jcd",\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_21.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_22.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_23.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_24.jpg&;\3d design model\LADIES RINGS\ladies ring cad & pic=05\BLR_24.jpg,,,,,,,,,,
"PBG-036,27,28,29,30,31,32,33,34,35",0,,,95,BRACELETS,Bangles,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\BANGLE 138\BANGLE\PBG-036-Y1.jpg,\3d design model\BANGLE 138\BANGLE\PBG-036-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-027 DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-028 DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-029-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-030-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-031-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-032-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-033-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-034-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-035-DIA.3dm,\3d design model\BANGLE 138\BANGLE\PBG-036.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-027.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-028.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-029.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-030.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-031.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-032.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-033.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-034.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-035.jpg,,,,,,,,,,
VDR_EngRNG_01,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_01.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_01.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_01.jpg,,,,,,,,,,
VDR_EngRNG_02,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_02.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_02.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_02.jpg,,,,,,,,,,
VDR_EngRNG_03,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_03.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_03.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_03.jpg,,,,,,,,,,
VDR_EngRNG 04,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_04.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_04.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_04.jpg,,,,,,,,,,
VDR_EngRNG_05,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_05.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_05.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_EngRNG_05.jpg,,,,,,,,,,
VDR_E-SET_RNG01,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_E-SET_RNG01.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_E-SET_RNG01.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_E-SET_RNG01.jpg,,,,,,,,,,
VDR_E-SET_RNG02,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_E-SET_RNG02.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_E-SET_RNG02.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_E-SET_RNG02.jpg,,,,,,,,,,
VDR_LRNG01_Export,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG01_Export.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG01_Export.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG01_Export.jpg,,,,,,,,,,
VDR_LRNG02_Export,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG02_Export.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG02_Export.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG02_Export.jpg,,,,,,,,,,
VDR_LRNG03_Export,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG03_Export.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG03_Export.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG03_Export.jpg,,,,,,,,,,
VDR_LRNG04_Export,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG04_Export.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG04_Export.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG04_Export.jpg,,,,,,,,,,
VDR_LRNG05_Export,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG05_Export.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG05_Export.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG05_Export.jpg,,,,,,,,,,
VDR_LRNG06_Export,0,,,5,RING,Ladies Rings,,,"Modern Styles
Precise Design
Beautiful Shape
Best Price","diamondring ,design ,jewellerydesign ,fashionjewelry ,onlineshopping ,luxury ,weddingrings ,finejewelry ,gems ,shopping ,beauty ,engagementrings ,ringoftheday ,gift",royalty_free,,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG06_Export.jpg,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG06_Export.jcd,\3d design model\LADIES RINGS\ladies ring cad & pic=10\VDR_LRNG06_Export.jpg,,,,,,,,,,
"PBG-026,27,28,29,30,31,32,33,34,35",0,,,95,BRACELETS,Bangles,,,"Smooth Models
Excellent Finishing
Exclusive Collection
Best Price","bangles ,jewellery ,bracelets ,bridaljewellery ,wedding ,onlineshopping ,accessories",royalty_free,,\3d design model\BANGLE 138\BANGLE\PBG-036-Y1.jpg,\3d design model\BANGLE 138\BANGLE\PBG-036-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-027 DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-028 DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-029-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-030-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-031-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-032-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-033-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-034-DIA.3dm&;\3d design model\BANGLE 138\BANGLE\PBG-035-DIA.3dm,\3d design model\BANGLE 138\BANGLE\PBG-036.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-027.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-028.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-029.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-030.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-031.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-032.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-033.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-034.jpg&;\3d design model\BANGLE 138\BANGLE\PBG-035.jpg,,,,,,,,,,
